date,AQI,PM2.5,PM10,NO2,SO2,CO,O3,temperature,humidity,wind_speed,respiratory_admissions,AirQuality_Status
2020-01-01,109.9,31.38288663,57.71837284,47.65,25.87,0.96,32.57,37.6,20.5,5.2,11,moderate
2020-01-01,97.2,77.82895235,67.8864,27.33,18.05,0.93,27.29,32.3,51.5,5.4,17,poor
2020-01-01,68.0,50.4688518,92.0810329,38.4,27.1,1.14,26.89,31.2,87.3,2.4,5,poor
2020-01-01,85.6,78.78425493,113.6662915,47.15,19.31,0.44,36.17,31.1,22.8,1.9,12,poor
2020-01-01,103.9,72.87021293,113.6298491,27.23,11.21,0.15,39.76,26.3,34.9,1.5,10,moderate
2020-01-02,80.4,47.57705591,62.3226221,51.57,22.85,0.58,22.76,33.6,89.8,14.2,11,good
2020-01-02,75.5,87.74043212,79.35915259,30.1,21.02,1.28,32.34,21.7,42.8,5.3,10,moderate
2020-01-02,109.2,59.38060969,71.79941177,37.2,20.94,1.09,29.86,20.3,35.1,5.9,8,good
2020-01-02,97.2,47.09422484,67.38138333,50.73,10.61,0.99,23.75,24.9,27.3,6.2,13,moderate
2020-01-02,114.9,62.41949314,87.85536726,43.09,8.87,1.01,35.38,27.5,29.7,12.3,13,poor
2020-01-03,95.8,72.64657998,56.38055033,33.13,23.49,1.15,33.57,27.3,39.8,8.3,9,moderate
2020-01-03,113.0,53.795917,61.15879633,44.99,18.36,1.02,35.53,23.4,80.1,5.7,3,moderate
2020-01-03,140.5,68.34033145,78.58326304,37.19,18.39,1.13,28.06,28.7,33.8,4.5,10,poor
2020-01-03,96.1,69.66185652,58.24502649,41.34,19.81,1.29,22.62,25.9,55.9,12.4,7,moderate
2020-01-03,108.2,29.72268203,82.94596001,52.7,12.71,1.19,21.17,24.5,68.8,6.2,11,good
2020-01-04,72.7,51.13072817,81.82249735,33.84,25.59,0.79,14.99,25.3,82.2,9.0,7,poor
2020-01-04,130.5,88.31531486,69.04008363,20.58,19.79,1.28,25.28,22.4,25.9,8.5,6,good
2020-01-04,65.9,62.17595619,66.39011904,27.55,30.2,1.01,31.99,27.4,74.3,5.1,7,moderate
2020-01-04,83.0,77.44257866,56.96637782,31.54,14.46,1.29,34.97,18.0,57.9,1.4,11,moderate
